,eta,momentum,tree,nquad,vegas,error
0,0.6324555320336759,0.00032,18.4404295109844,,-4.58e-07, -0.10e-07
1,0.6324555320336759,0.0004719183621785804,26.812509510131882,,-1.478e-06, -0.031e-06
2,0.6324555320336759,0.0006959591892541056,38.961211207247985,,-4.53e-06, -0.10e-06
3,0.6324555320336759,0.0010263622522997833,56.53994670907784,,-1.43e-05, -0.04e-05
4,0.6324555320336759,0.0015136224784601019,81.82278417767903,,-4.74e-05, -0.13e-05
5,0.6324555320336759,0.0022322070030986714,117.72501462451802,,-0.000140, -0.000004
6,0.6324555320336759,0.0032919358529558827,167.34954564554067,,-0.000441, -0.000010
7,0.6324555320336759,0.004854765550387154,232.14353017517269,,-0.001245, -0.000032
8,0.6324555320336759,0.007159540647811568,307.15729178173365,,-0.00378, -0.00009
9,0.6324555320336759,0.0105584959264569,373.94288104770106,,-0.00929, -0.00024
10,0.6324555320336759,0.015571087827133602,401.55457146658915,,-0.0206, -0.0007
11,0.6324555320336759,0.022963382077249142,370.3848328584647,,-0.0351, -0.0013
12,0.6324555320336759,0.03386513018742619,295.51435234415226,,-0.0445, -0.0019
13,0.6324555320336759,0.04994242741567057,210.02210510051768,,-0.0414, -0.0028
14,0.6324555320336759,0.0736523392163309,136.54743259713217,,-0.022, -0.004
15,0.6324555320336759,0.1086184102924754,82.21426380912041,,0.019, -0.005
16,0.6324555320336759,0.16018444464895643,45.8848440581053,,0.105, -0.009
17,0.6324555320336759,0.23623118989131572,23.69736095745726,,0.144, -0.006
18,0.6324555320336759,0.3483807382156467,11.357697824331428,,0.152, -0.006
19,0.6324555320336759,0.5137727106040398,5.100387900160273,,0.147, -0.005
20,0.6324555320336759,0.7576836753759633,2.1704878866387944,,0.106, -0.005
21,0.6324555320336759,1.1173901222902258,0.8550161433724127,,0.0538, -0.0035
22,0.6324555320336759,1.647865363830397,0.1800321137451606,,0.0620, -0.0019
23,0.6324555320336759,2.430181011217661,0.00017919598097732248,,0.01125, -0.00010
24,0.6324555320336759,3.58389700816039,3.5170704133851957e-06,,8.73e-05, -0.12e-05
25,0.6324555320336759,5.285333769711768,2.6497582414516687e-09,,2.90e-08, -0.09e-08
26,0.6324555320336759,7.7945189255297604,2.4547874538899483e-13,,3.76e-11, -0.04e-11
27,0.6324555320336759,11.494926891581102,1.5623272834546794e-16,,2.371e-14, -0.021e-14
28,0.6324555320336759,16.952084600117107,2.5087888723999808e-21,,6.1e-17, -1.9e-17
29,0.6324555320336759,25.0,2.823529896494431e-28,,3.4e-24, -0.8e-24
30,0.6866640036563988,0.00032,25.62289371981826,,-9.3e-07, -0.6e-07
31,0.6866640036563988,0.0004719183621785804,37.25586115716514,,-2.98e-06, -0.07e-06
32,0.6866640036563988,0.0006959591892541056,54.13642742779125,,-9.15e-06, -0.22e-06
33,0.6866640036563988,0.0010263622522997833,78.56200120436094,,-3.03e-05, -0.06e-05
34,0.6866640036563988,0.0015136224784601019,113.69238995195062,,-8.91e-05, -0.25e-05
35,0.6866640036563988,0.0022322070030986714,163.57837739577948,,-0.000283, -0.000007
36,0.6866640036563988,0.0032919358529558827,232.53143965987044,,-0.000855, -0.000022
37,0.6866640036563988,0.004854765550387154,322.5623892262769,,-0.00263, -0.00006
38,0.6866640036563988,0.007159540647811568,426.79367299457397,,-0.00717, -0.00017
39,0.6866640036563988,0.0105584959264569,519.5919483686906,,-0.0181, -0.0005
40,0.6866640036563988,0.015571087827133602,557.9582677977616,,-0.0389, -0.0011
41,0.6866640036563988,0.022963382077249142,514.6480564409842,,-0.0702, -0.0020
42,0.6866640036563988,0.03386513018742619,410.61586110479533,,-0.092, -0.004
43,0.6866640036563988,0.04994242741567057,291.8247687559308,,-0.071, -0.006
44,0.6866640036563988,0.0736523392163309,189.73204236193482,,-0.030, -0.007
45,0.6866640036563988,0.1086184102924754,114.23634913597729,,0.103, -0.013
46,0.6866640036563988,0.16018444464895643,63.75678407875133,,0.181, -0.012
47,0.6866640036563988,0.23623118989131572,32.92737627892076,,0.244, -0.011
48,0.6866640036563988,0.3483807382156467,15.781469953360217,,0.327, -0.016
49,0.6866640036563988,0.5137727106040398,7.086966006829709,,0.336, -0.014
50,0.6866640036563988,0.7576836753759633,3.015883139100578,,0.259, -0.009
51,0.6866640036563988,1.1173901222902258,1.188041079150715,,0.170, -0.007
52,0.6866640036563988,1.647865363830397,0.25015381310381013,,0.1158, -0.0034
53,0.6866640036563988,2.430181011217661,0.0002489920808387425,,0.02153, -0.00030
54,0.6866640036563988,3.58389700816039,4.8870005474480825e-06,,0.0001776, -0.0000029
55,0.6866640036563988,5.285333769711768,3.682996539992045e-09,,5.44e-08, -0.15e-08
56,0.6866640036563988,7.7945189255297604,3.4463495380598704e-13,,7.49e-11, -0.09e-11
