	eta	momentum	tree	vegas	error
0	2.0	0.00032	1844.0429510984402	-0.00587014064396321	0.0001232937357248719
1	2.0	0.000498849211233904	2828.4196129705842	-0.021860836744970802	0.00048723088178954986
2	2.0	0.0007776579235896515	4334.277252942072	-0.08075275385159456	0.0016839874115902205
3	2.0	0.0012122938806015413	6627.536963741975	-0.31112027424026156	0.006577864858311727
4	2.0	0.0018898495191305245	10083.151722166545	-1.1273422496417518	0.0236134983564725
5	2.0	0.002946093568653236	15162.163328667997	-4.097478557358319	0.0861534032260888
6	2.0	0.004592676415449825	22203.26330782122	-13.538592393585951	0.29822998538962675
7	2.0	0.007159540647811563	30715.729178173347	-45.53920566980819	1.0512149710554224
8	2.0	0.011161035015493358	38103.08277063727	-127.48285188072954	3.169095126837817
9	2.0	0.01739897973135265	39866.58212304327	-308.5782845563344	8.222479943558996
10	2.0	0.02712333536018737	34172.95054395796	-525.637878743709	17.11631239157981
11	2.0	0.042282670157694144	24609.95245657578	-494.2543345386596	29.11162150687035
12	2.0	0.06591461455321583	15567.651700295582	-233.40748158076943	49.11475074945592
13	2.0	0.10275454212080797	8880.130555837466	351.33187700788767	59.527696402161126
14	2.0	0.1601844446489563	4588.484405810536	1165.903981068766	67.88772280924287
15	2.0	0.24971213707835285	2142.8321449355853	1812.0597518415439	66.79335520471977
16	2.0	0.38927719567834007	909.0734813286296	2018.4841680223938	80.20746261766608
17	2.0	0.6068456937983938	355.85771658350365	1723.8757661770958	61.93733855010339
18	2.0	0.9460140490375637	129.62577473009256	1195.5777690278928	49.888809074931864
19	2.0	1.4747448818080637	33.93911107589389	761.1750111704476	27.55745458383541
20	2.0	2.2989853783162206	0.005453715588779964	219.89908304594496	0.8802689955515322
21	2.0	3.58389700816039	0.00035171798597865347	1.0922831804707631	0.01487588469444595
22	2.0	5.586950611451122	1.1629315542671173e-07	8.315145748867821e-05	4.2168736545850784e-06
23	2.0	8.709518455391168	3.965350415290593e-11	-5.953049300131262e-08	1.3080183305264843e-09
24	2.0	13.577301286559416	5.377255753158154e-15	5.8639680627199176e-12	3.6340058298594487e-13
25	2.0	21.165706367141357	1.4574106483604234e-18	-4.0347863249921627e-16	2.0203468557645332e-16
26	2.0	32.99529977017781	3.482633603767307e-23	-1.9862271574265151e-19	1.2930442693311167e-20
27	2.0	51.436497702435666	1.6054812717005835e-31	1.5566363077142392e-23	3.337014883426039e-24
28	2.0	80.18455096092045	5.760310848299233e-37	-2.770238021967606e-32	1.3408284588203348e-33
29	2.0	125.0	4.1731451254856653e-44	2.974611890647649e-39	2.665480875325905e-40
