,eta,momentum,tree,vegas,error
0,2.0,0.00032,1844.0429510984402,-0.006071932250974504,3.0176242281919117e-05
1,2.0,0.000498849211233904,2828.4196129705842,-0.022584903843171772,0.00010820400486961331
2,2.0,0.0007776579235896515,4334.277252942072,-0.08391795979286439,0.00041408003824187917
3,2.0,0.0012122938806015413,6627.536963741975,-0.3101107591759575,0.0015629431617913956
4,2.0,0.0018898495191305245,10083.151722166545,-1.1259494999243584,0.005977339754809037
5,2.0,0.002946093568653236,15162.163328667997,-4.113938744755008,0.021186943865316395
6,2.0,0.004592676415449825,22203.26330782122,-14.3650849524514,0.08176753513855994
7,2.0,0.007159540647811563,30715.729178173347,-46.97986413828468,0.2578630249642879
8,2.0,0.011161035015493358,38103.08277063727,-133.22921564372376,0.7927172255689079
9,2.0,0.01739897973135265,39866.58212304327,-304.1924488983022,2.043702723575615
10,2.0,0.02712333536018737,34172.95054395796,-501.28767693619017,3.7900818558611253
11,2.0,0.042282670157694144,24609.95245657578,-551.1107678330236,6.772564428161916
12,2.0,0.06591461455321583,15567.651700295582,-249.87510686604517,10.170382920091264
13,2.0,0.10275454212080797,8880.130555837466,390.791202516624,14.404945556550269
14,2.0,0.1601844446489563,4588.484405810536,1201.4973013023375,15.831495651070709
15,2.0,0.24971213707835285,2142.8321449355853,1846.7627115015407,15.463541928941762
16,2.0,0.38927719567834007,909.0734813286296,2038.1558516108307,13.148951479760921
17,2.0,0.6068456937983938,355.85771658350416,1745.4137898350848,8.6036616750761
18,2.0,0.9460140490375637,129.62577473010194,1233.4438650626792,5.418038199215681
19,2.0,1.4747448818080637,33.93911107602775,782.9272625032781,2.36666699004198
20,2.0,2.2989853783162206,0.005453715589949519,224.5144596043883,0.751492843118004
21,2.0,3.58389700816039,0.00035171799007972326,1.1163032703334965,0.004789331260060996
22,2.0,5.586950611451122,1.1629322915439676e-07,8.907863733015495e-05,1.2147926386227608e-06
23,2.0,8.709518455391168,3.965487104896843e-11,-6.047808608257883e-08,3.671479519477775e-10
24,2.0,13.577301286559416,5.387338714910332e-15,6.542550450587778e-12,1.3096487189118383e-13
25,2.0,21.165706367141357,1.6097125716859e-18,6.54685162910322e-17,6.396997881371214e-17
26,2.0,32.99529977017781,4.95086791713906e-22,-3.273294917717281e-18,5.3982357438500105e-20
27,2.0,51.436497702435666,3.691333685508149e-27,1.74555847327636e-20,1.2062534511389335e-22
28,2.0,80.18455096092045,3.864829781794481e-29,-1.8504617436498953e-24,4.649098796767977e-26
29,2.0,125.0,8.275446780861548e-33,9.170947107133601e-28,2.1133467059339732e-29
