	momentum	tree	fdm_pt	cdm_pt	absdiff	reldiff
43	0.040370172585965536	25639.050832588633		-536+/-28				-554+/-6	18+/-29	-0.03+/-0.05
44	0.04641588833612782		22565.832932635454		-505+/-32				-519+/-7	14+/-33	-0.03+/-0.07
45	0.05336699231206313		19626.86217015179		-447+/-35				-457+/-9	(1+/-4)e+01	-0.02+/-0.08
46	0.061359072734131756	16885.136752139988		(-3.2+/-0.4)e+02		-338+/-10	(2+/-4)e+01	-0.05+/-0.13
47	0.07054802310718646		14377.92490814768		(-2.2+/-0.4)e+02		-173+/-12	(5+/-5)e+01	-0.23+/-0.16
48	0.08111308307896872		12122.678858104508		(7+/-5)e+01				18+/-11	(5+/-5)e+01	0.75+/-0.23
49	0.093260334688322		10122.587235305573		(2.6+/-0.6)e+02			235+/-13	(3+/-6)e+01	0.11+/-0.21
50	0.10722672220103231		8371.136200158227		(5.6+/-0.6)e+02			446+/-14	(1.1+/-0.6)e+02	0.20+/-0.09
51	0.12328467394420659		6855.534791469176		(8.1+/-0.6)e+02			695+/-15	(1.2+/-0.7)e+02	0.15+/-0.07
52	0.14174741629268048		5559.125617385635		(9.5+/-0.7)e+02			986+/-15	(4+/-7)e+01	0.04+/-0.08
53	0.16297508346206452		4463.011712511092		(1.16+/-0.07)e+03		1216+/-15	(5+/-7)e+01	0.05+/-0.06
54	0.1873817422860385		3547.1452889894513		(1.56+/-0.07)e+03		1471+/-14	(9+/-7)e+01	0.06+/-0.04
55	0.21544346900318845		2791.087609536565		(1.60+/-0.07)e+03		1676+/-16	(7+/-7)e+01	0.04+/-0.04
56	0.24770763559917114		2174.589457918386		(1.72+/-0.07)e+03		1822+/-16	(1.0+/-0.7)e+02	0.06+/-0.04
57	0.2848035868435802		1678.0776860990757		(1.96+/-0.07)e+03		1945+/-14	(1+/-7)e+01	0.01+/-0.04
58	0.32745491628777285		1283.0787351749116		(1.91+/-0.08)e+03		2000+/-13	(9+/-8)e+01	0.05+/-0.04
59	0.37649358067924676		972.5735990855774		(2.03+/-0.07)e+03		2067+/-12	(4+/-7)e+01	0.02+/-0.04
60	0.43287612810830617		731.2632123398919		(1.98+/-0.07)e+03		1995+/-12	(2+/-7)e+01	0.01+/-0.04
61	0.49770235643321137		545.7254438769053		(1.83+/-0.06)e+03		1931+/-9	(1.0+/-0.7)e+02	0.05+/-0.04
