,momentum,tree,nquad,vegas
0,0.0001,600.4813485978235,,-0.000189+/-0.000004
1,0.00011497569953977356,687.0320925665078,,-0.000288+/-0.000006
2,0.00013219411484660288,786.0538143586462,,-0.000412+/-0.000009
3,0.0001519911082952933,899.34142943252,,-0.000636+/-0.000014
4,0.0001747528400007683,1028.9471956542548,,-0.000980+/-0.000021
5,0.00020092330025650479,1177.2171159023903,,-0.001616+/-0.000034
6,0.00023101297000831605,1346.8322444161981,,-0.00218+/-0.00005
7,0.00026560877829466864,1540.855433547641,,-0.00343+/-0.00007
8,0.0003053855508833416,1762.7840507504095,,-0.00542+/-0.00011
9,0.0003511191734215131,2016.6091463333748,,-0.00787+/-0.00017
10,0.0004037017258596554,2306.8814343072786,,-0.01170+/-0.00026
11,0.0004641588833612782,2638.7842215978785,,-0.0180+/-0.0004
12,0.0005336699231206312,3018.2130250175055,,-0.0282+/-0.0006
13,0.0006135907273413176,3451.860961433539,,-0.0415+/-0.0009
14,0.0007054802310718645,3947.3079529149745,,-0.0604+/-0.0013
15,0.0008111308307896872,4513.1101631823585,,-0.0940+/-0.0020
16,0.0009326033468832199,5158.883597843298,,-0.1373+/-0.0030
17,0.0010722672220103231,5895.3720675037,,-0.207+/-0.005
18,0.0012328467394420659,6734.484190454798,,-0.306+/-0.007
19,0.0014174741629268048,7689.276083443061,,-0.490+/-0.011
20,0.0016297508346206436,8773.84495707968,,-0.755+/-0.016
21,0.001873817422860383,10003.082983770995,,-1.079+/-0.023
22,0.0021544346900318843,11392.219636843194,,-1.668+/-0.035
23,0.0024770763559917113,12956.053957058686,,-2.40+/-0.05
24,0.002848035868435802,14707.747407075978,,-3.75+/-0.08
25,0.0032745491628777285,16657.01848975892,,-5.59+/-0.12
26,0.0037649358067924675,18807.564737328652,,-7.89+/-0.18
27,0.004328761281083062,21153.560584980092,,-11.99+/-0.27
28,0.004977023564332114,23675.182195194873,,-17.6+/-0.4
29,0.00572236765935022,26333.35024923035,,-25.5+/-0.6
30,0.006579332246575682,29064.318462303017,,-36.6+/-0.9
31,0.007564633275546291,31775.384548853155,,-52.5+/-1.2
32,0.008697490026177835,34343.74577874004,,-72.7+/-1.8
33,0.01,36621.01150361987,,-107.2+/-2.6
34,0.011497569953977356,38445.515410401116,,-139.6+/-3.4
35,0.013219411484660288,39662.73529516431,,-191+/-5
36,0.01519911082952933,40150.831809797106,,-235+/-6
37,0.01747528400007685,39844.79880116692,,-312+/-8
38,0.02009233002565048,38751.24865982071,,-362+/-11
39,0.023101297000831605,36948.196761028164,,-427+/-13
40,0.026560877829466867,34569.742806303984,,-468+/-17
41,0.030538555088334154,31781.20715836695,,-516+/-20
42,0.03511191734215131,28752.863274938794,,-548+/-24
43,0.040370172585965536,25639.050832588633,,-506+/-27
44,0.04641588833612782,22565.832932635454,,-512+/-32
45,0.05336699231206313,19626.86217015179,,(-3.9+/-0.4)e+02
46,0.061359072734131756,16885.136752139988,,(-3.0+/-0.4)e+02
47,0.07054802310718646,14377.92490814768,,(-1.6+/-0.4)e+02
48,0.08111308307896872,12122.678858104508,,(6+/-5)e+01
49,0.093260334688322,10122.587235305573,,(2.5+/-0.6)e+02
50,0.10722672220103231,8371.136200158227,,(3.6+/-0.6)e+02
51,0.12328467394420659,6855.534791469176,,(7.6+/-0.6)e+02
52,0.14174741629268048,5559.125617385635,,(9.4+/-0.7)e+02
53,0.16297508346206452,4463.011712511092,,(1.23+/-0.07)e+03
54,0.1873817422860385,3547.1452889894513,,(1.50+/-0.07)e+03
55,0.21544346900318845,2791.087609536565,,(1.67+/-0.07)e+03
56,0.24770763559917114,2174.589457918386,,(1.74+/-0.09)e+03
57,0.2848035868435802,1678.0776860990757,,(1.97+/-0.08)e+03
58,0.32745491628777285,1283.0787351749116,,(2.15+/-0.07)e+03
59,0.37649358067924676,972.5735990855778,,(2.03+/-0.07)e+03
60,0.43287612810830617,731.2632123398926,,(1.98+/-0.07)e+03
61,0.49770235643321137,545.7254438769069,,(1.98+/-0.07)e+03
62,0.572236765935022,404.4574142918033,,(1.72+/-0.06)e+03
63,0.6579332246575682,297.8114490258987,,(1.68+/-0.06)e+03
64,0.7564633275546291,217.84322693086682,,(1.53+/-0.05)e+03
65,0.8697490026177834,158.09339008992382,,(1.37+/-0.05)e+03
66,1.0,113.31996283218491,,(1.06+/-0.04)e+03
67,1.1497569953977356,79.20043352914419,,(9.8+/-0.4)e+02
68,1.3219411484660286,52.093003756245494,,885+/-34
